package,version,relationship,license,status
"cssesc","3.0.0","transitive","MIT","MIT"
"csstype","3.2.3","transitive","MIT","MIT"
"damerau-levenshtein","1.0.8","transitive","BSD-2-Clause","FLAGGED"
"data-urls","7.0.0","transitive","MIT","MIT"
"data-view-buffer","1.0.2","transitive","MIT","MIT"
"data-view-byte-length","1.0.2","transitive","MIT","MIT"
"data-view-byte-offset","1.0.1","transitive","MIT","MIT"
"debug","3.2.7","transitive","MIT","MIT"
"debug","3.2.7","transitive","MIT","MIT"
"debug","3.2.7","transitive","MIT","MIT"
"debug","4.4.3","transitive","MIT","MIT"
"decimal.js","10.6.0","transitive","MIT","MIT"
"deep-is","0.1.4","transitive","MIT","MIT"
"define-data-property","1.1.4","transitive","MIT","MIT"
"define-properties","1.2.1","transitive","MIT","MIT"
"delayed-stream","1.0.0","transitive","MIT","MIT"
"depd","2.0.0","transitive","MIT","MIT"
"dequal","2.0.3","transitive","MIT","MIT"
"detect-gpu","5.0.70","transitive","MIT","MIT"
"detect-libc","2.1.2","transitive","Apache-2.0","FLAGGED"
"detect-node-es","1.1.0","transitive","MIT","MIT"
"didyoumean","1.2.2","transitive","Apache-2.0","FLAGGED"
"dlv","1.1.3","transitive","MIT","MIT"
"doctrine","2.1.0","transitive","Apache-2.0","FLAGGED"
"dom-accessibility-api","0.5.16","transitive","MIT","MIT"
"dom-accessibility-api","0.6.3","transitive","MIT","MIT"
"dotenv","16.6.1","transitive","BSD-2-Clause","FLAGGED"
"draco3d","1.5.7","transitive","Apache-2.0","FLAGGED"
"dunder-proto","1.0.1","transitive","MIT","MIT"
"duplexer","0.1.2","transitive","MIT","MIT"
"eciesjs","0.4.18","transitive","MIT","MIT"
"ee-first","1.1.1","transitive","MIT","MIT"
"electron-to-chromium","1.5.416","transitive","ISC","FLAGGED"
"emoji-regex","10.6.0","transitive","MIT","MIT"
"emoji-regex","8.0.0","transitive","MIT","MIT"
"emoji-regex","9.2.2","transitive","MIT","MIT"
"encodeurl","2.0.0","transitive","MIT","MIT"
"enquirer","2.4.1","transitive","MIT","MIT"
